vi	V(n003)	I(Rc)	I(Rb)
3.679999999999966e+00	6.984100e-01	8.992785e-03	2.981590e-05
3.689999999999965e+00	6.985096e-01	9.020303e-03	2.991490e-05
3.699999999999965e+00	6.986089e-01	9.047810e-03	3.001391e-05
3.709999999999965e+00	6.987079e-01	9.075303e-03	3.011292e-05
3.719999999999965e+00	6.988066e-01	9.102782e-03	3.021193e-05
3.729999999999964e+00	6.989051e-01	9.130250e-03	3.031095e-05
3.739999999999964e+00	6.990033e-01	9.157703e-03	3.040997e-05
3.749999999999964e+00	6.991012e-01	9.185145e-03	3.050899e-05
3.759999999999964e+00	6.991987e-01	9.212573e-03	3.060801e-05
3.769999999999964e+00	6.992961e-01	9.239987e-03	3.070704e-05
3.779999999999963e+00	6.993931e-01	9.267390e-03	3.080607e-05
3.789999999999963e+00	6.994899e-01	9.294779e-03	3.090510e-05
3.799999999999963e+00	6.995864e-01	9.322155e-03	3.100414e-05
3.809999999999963e+00	6.996827e-01	9.349518e-03	3.110317e-05
3.819999999999963e+00	6.997786e-01	9.376870e-03	3.120221e-05
3.829999999999962e+00	6.998743e-01	9.404207e-03	3.130126e-05
3.839999999999962e+00	6.999697e-01	9.431532e-03	3.140030e-05
3.849999999999962e+00	7.000649e-01	9.458844e-03	3.149935e-05
3.859999999999962e+00	7.001598e-01	9.486143e-03	3.159840e-05
3.869999999999961e+00	7.002544e-01	9.513428e-03	3.169745e-05
3.879999999999961e+00	7.003489e-01	9.540701e-03	3.179651e-05
3.889999999999961e+00	7.004430e-01	9.567962e-03	3.189557e-05
3.899999999999961e+00	7.005368e-01	9.595210e-03	3.199463e-05
3.909999999999961e+00	7.006304e-01	9.622444e-03	3.209370e-05
3.919999999999960e+00	7.007238e-01	9.649666e-03	3.219276e-05
3.929999999999960e+00	7.008169e-01	9.676876e-03	3.229183e-05
